# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I B-L1,2.6400,A,180.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I B-L2,2.6400,A,60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I B-L3,2.6400,A,-60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I A-L1,8.0000,A,0.00,50.000,end A,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I A-L2,8.0000,A,-120.00,50.000,end A,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I A-L3,8.0000,A,120.00,50.000,end A,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I B-L1,8.0000,A,180.00,50.000,end B,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I B-L2,8.0000,A,60.00,50.000,end B,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,9,Through-current stability,,,,,I B-L3,8.0000,A,-60.00,50.000,end B,RESTRAIN,Zero differential; any standing value is a wiring or ratio error,no,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,V L1,57.735,V,0.00,50.000,,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,V L2,57.735,V,-120.00,50.000,,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,V L3,57.735,V,120.00,50.000,,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I A-L1,4.0000,A,0.00,50.000,end A,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I A-L2,4.0000,A,-120.00,50.000,end A,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I A-L3,4.0000,A,120.00,50.000,end A,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I B-L1,4.0000,A,0.00,50.000,end B,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I B-L2,4.0000,A,-120.00,50.000,end B,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87L,Line differential,Differential,Differential,characteristic,10,Internal fault,,,,,I B-L3,4.0000,A,120.00,50.000,end B,OPERATE,Idiff equals the sum of both infeeds,op,both ends
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,V L1,57.735,V,0.00,50.000,,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,V L2,57.735,V,-120.00,50.000,,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,V L3,57.735,V,120.00,50.000,,OPERATE,Operate within 50.0 ms,op,
87N,Ground differential,Differential,Quick CMC,points,1,Threshold — above,,,,,I A-L1,0.1150,A,0.00,50.000,end A,OPERATE,Operate within 50.0 ms,op,
